milliseconds since start (~7:20pm nov 9),ph (not right),orp,turbididy,tds,temp,temp (f),time (hour)
695,0,0,4.54,450,17.19,62.942,0.0001930555556
2268,44.86,0,4.53,451,17.19,62.942,0.00063
3812,42.71,0,4.53,451,17.12,62.816,0.001058888889
5363,40.55,0,4.52,451,17.19,62.942,0.001489722222
6908,38.4,0,4.53,451,17.12,62.816,0.001918888889
8455,36.25,0,4.52,451,17.12,62.816,0.002348611111
10001,34.1,-31,4.53,451,17.12,62.816,0.002778055556
11548,31.94,-61,4.52,451,17.19,62.942,0.003207777778
13094,29.79,-97,4.52,451,17.12,62.816,0.003637222222
14642,27.63,-128,4.52,451,17.12,62.816,0.004067222222
16188,25.48,-159,4.52,451,17.12,62.816,0.004496666667
17743,23.32,-190,4.52,451,17.19,62.942,0.004928611111
19290,21.17,-221,4.52,451,17.19,62.942,0.005358333333
20837,19.02,-257,4.52,451,17.12,62.816,0.005788055556
22383,16.87,-293,4.52,451,17.12,62.816,0.0062175
23930,14.71,-329,4.52,451,17.12,62.816,0.006647222222
25478,12.56,-365,4.52,451,17.12,62.816,0.007077222222
27030,10.4,-396,4.52,451,17.12,62.816,0.007508333333
28576,8.25,-427,4.52,451,17.12,62.816,0.007937777778
30124,6.09,-457,4.52,451,17.12,62.816,0.008367777778
31670,3.94,-493,4.52,451,17.12,62.816,0.008797222222
33216,1.78,-525,4.52,451,17.19,62.942,0.009226666667
34762,-0.37,-560,4.52,451,17.19,62.942,0.009656111111
36310,-2.53,-592,4.52,451,17.19,62.942,0.01008611111
37856,-4.68,-628,4.51,451,17.19,62.942,0.01051555556
39403,-6.84,-659,4.51,451,17.12,62.816,0.01094527778
40949,-8.99,-695,4.51,451,17.19,62.942,0.01137472222
42497,-11.14,-726,4.52,451,17.12,62.816,0.01180472222
44044,-13.3,-762,4.52,451,17.12,62.816,0.01223444444
45591,-15.45,-798,4.51,451,17.19,62.942,0.01266416667
47138,-17.61,-829,4.52,451,17.12,62.816,0.01309388889
48686,-19.76,-864,4.52,451,17.19,62.942,0.01352388889
50239,-21.92,-900,4.52,451,17.19,62.942,0.01395527778
51786,-24.07,-935,4.58,451,17.19,62.942,0.014385
53332,-26.23,-966,4.52,451,17.25,63.05,0.01481444444
54881,-28.38,-1002,4.52,451,17.19,62.942,0.01524472222
56428,-30.54,-1037,4.52,451,17.19,62.942,0.01567444444
57976,-32.69,-1067,4.51,451,17.19,62.942,0.01610444444
59524,-34.85,-1103,4.52,451,17.19,62.942,0.01653444444
61071,-37,-1110,4.51,451,17.19,62.942,0.01696416667
62626,-37,-1109,4.52,451,17.19,62.942,0.01739611111
64174,-37.01,-1106,4.52,451,17.19,62.942,0.01782611111
65721,-37.01,-1101,4.52,451,17.19,62.942,0.01825583333
67269,-37.02,-1102,4.52,451,17.19,62.942,0.01868583333
68816,-37.02,-1103,4.52,451,17.12,62.816,0.01911555556
70371,-37.02,-1105,4.51,451,17.19,62.942,0.0195475
71918,-37.02,-1109,4.51,451,17.19,62.942,0.01997722222
73465,-37.02,-1110,4.51,451,17.12,62.816,0.02040694444
75013,-37.02,-1103,4.51,451,17.12,62.816,0.02083694444
76561,-37.02,-1109,4.51,451,17.12,62.816,0.02126694444
78108,-37.02,-1108,4.51,451,17.19,62.942,0.02169666667
79655,-37.02,-1112,4.51,451,17.19,62.942,0.02212638889
81204,-37.02,-1111,4.51,451,17.19,62.942,0.02255666667
82759,-37.03,-1112,4.51,451,17.12,62.816,0.02298861111
84306,-37.03,-1106,4.51,451,17.19,62.942,0.02341833333
85854,-37.03,-1106,4.51,451,17.19,62.942,0.02384833333
87401,-37.03,-1101,4.51,451,17.19,62.942,0.02427805556
88949,-37.03,-1107,4.5,451,17.12,62.816,0.02470805556
90497,-37.03,-1110,4.51,451,17.19,62.942,0.02513805556
92050,-37.03,-1110,4.5,451,17.12,62.816,0.02556944444
